 IN_MODEL                  Unknown Client            Do not have               From File                 TIME_SERIES.DAT                                              YES
 FIRST_OUTPUT_DT           ModuleTimeSerie           0.00000000000000          From File                 0.00000000000000                                             YES
 FIRST_OUTPUT_TIME         ModuleTimeSerie           Do not have               From File                 -9.900000000000000E+015 -9.900000000000000E+015 -9.900000000 YES
 DT_OUTPUT_TIME            ModuleTimeSerie           Do not have               From File                 -9.900000000000000E+015                                      YES
 FIRST_OUTPUT_DT           ModuleTimeSerie           0.00000000000000          From File                 0.00000000000000                                             YES
 FIRST_OUTPUT_TIME         ModuleTimeSerie           Do not have               From File                 -9.900000000000000E+015 -9.900000000000000E+015 -9.900000000 YES
 DT_OUTPUT_TIME            ModuleTimeSerie           Do not have               From File                 -9.900000000000000E+015                                      YES
 FIRST_OUTPUT_DT           ModuleTimeSerie           0.00000000000000          From File                 0.00000000000000                                             YES
 FIRST_OUTPUT_TIME         ModuleTimeSerie           Do not have               From File                 -9.900000000000000E+015 -9.900000000000000E+015 -9.900000000 YES
 DT_OUTPUT_TIME            ModuleTimeSerie           Do not have               From File                 -9.900000000000000E+015                                      YES
 FIRST_OUTPUT_DT           ModuleTimeSerie           0.00000000000000          From File                 0.00000000000000                                             YES
 FIRST_OUTPUT_TIME         ModuleTimeSerie           Do not have               From File                 -9.900000000000000E+015 -9.900000000000000E+015 -9.900000000 YES
 DT_OUTPUT_TIME            ModuleTimeSerie           Do not have               From File                 -9.900000000000000E+015                                      YES
 FIRST_OUTPUT_DT           ModuleTimeSerie           0.00000000000000          From File                 0.00000000000000                                             YES
 FIRST_OUTPUT_TIME         ModuleTimeSerie           Do not have               From File                 -9.900000000000000E+015 -9.900000000000000E+015 -9.900000000 YES
 DT_OUTPUT_TIME            ModuleTimeSerie           Do not have               From File                 -9.900000000000000E+015                                      YES
 FIRST_OUTPUT_DT           ModuleTimeSerie           0.00000000000000          From File                 0.00000000000000                                             YES
 FIRST_OUTPUT_TIME         ModuleTimeSerie           Do not have               From File                 -9.900000000000000E+015 -9.900000000000000E+015 -9.900000000 YES
 DT_OUTPUT_TIME            ModuleTimeSerie           Do not have               From File                 -9.900000000000000E+015                                      YES
 FIRST_OUTPUT_DT           ModuleTimeSerie           0.00000000000000          From File                 0.00000000000000                                             YES
